Invoice_ID,Invoice_Header,Invoice_Year,Invoice_Amount,Invoice_Vendor,Invoice_Due_Date,Invoice_Vendor_City
2018000714_2018_IT10,2018000714,2018,1262.14,VND06924,2018-02-01,
2018000719_2018_IT10,2018000719,2018,906.12,VND06924,2018-02-01,
2018000727_2018_IT10,2018000727,2018,1262.14,VND06924,2018-02-01,
2018000730_2018_IT10,2018000730,2018,903.53,VND06835,2018-02-28,Dusseldorf
2018000731_2018_IT10,2018000731,2018,656.85,VND07940,2018-03-31,
2018000732_2018_IT10,2018000732,2018,701.57,VND06216,2018-04-15,
2018000733_2018_IT10,2018000733,2018,817.40,VND07014,2018-03-17,
2018000734_2018_IT10,2018000734,2018,1262.14,VND06924,2018-02-01,
2018000735_2018_IT10,2018000735,2018,207.40,VND07014,2018-03-16,
2018000737_2018_IT10,2018000737,2018,27595.20,VND07350,2018-03-31,Dusseldorf
2018000738_2018_IT10,2018000738,2018,914.45,VND06318,2018-03-31,Dusseldorf
2018000767_2018_IT10,2018000767,2018,1963.77,VND05417,2018-03-31,
2018000775_2018_IT10,2018000775,2018,1634.80,VND04681,2018-03-31,
2018000780_2018_IT10,2018000780,2018,5185.00,VND04681,2018-03-31,
2018000781_2018_IT10,2018000781,2018,219.60,VND07082,2018-01-31,
2018000782_2018_IT10,2018000782,2018,440.85,VND07082,2018-01-25,
2018000786_2018_IT10,2018000786,2018,8790.28,VND04741,2018-04-01,
2018000803_2018_IT10,2018000803,2018,6075.60,VND06989,2018-03-31,
2018000818_2018_IT10,2018000818,2018,1588.44,VND07484,2018-03-23,
2018000821_2018_IT10,2018000821,2018,111.02,VND06312,2018-03-31,
2018000829_2018_IT10,2018000829,2018,25.25,VND07355,2018-05-31,
2018000831_2018_IT10,2018000831,2018,54741.89,VND07169,2018-03-31,Berlin
2018000833_2018_IT10,2018000833,2018,852.00,VND07355,2018-05-31,
2018000842_2018_IT10,2018000842,2018,108.00,VND06148,2018-02-28,
2018000851_2018_IT10,2018000851,2018,2928.00,VND04681,2018-03-22,
2018000853_2018_IT10,2018000853,2018,2928.00,VND04681,2018-03-22,
2018000858_2018_IT10,2018000858,2018,366.00,VND04213,2018-03-31,
2018000859_2018_IT10,2018000859,2018,2196.00,VND04213,2018-03-31,
2018000860_2018_IT10,2018000860,2018,915.00,VND04213,2018-03-31,
2018000862_2018_IT10,2018000862,2018,204.42,VND06341,2018-03-31,
2018000864_2018_IT10,2018000864,2018,3463.58,VND06479,2018-03-18,
